model,scenario,region,variable,unit,period,value
IEA-WEM2019,Stated Policies Scenario,World,Capacity|Electricity|Hydro,GW,2040,1822
IEA-WEM2019,Sustainable Development Scenario,World,Capacity|Electricity|Hydro,GW,2040,2090
IEA-WEM2019,Current Policies Scenario,World,Capacity|Electricity|Marine,GW,2040,11
IEA-WEM2019,Stated Policies Scenario,World,Capacity|Electricity|Marine,GW,2040,20
IEA-WEM2019,Sustainable Development Scenario,World,Capacity|Electricity|Marine,GW,2040,30
IEA-WEM2019,Current Policies Scenario,World,Capacity|Electricity|Nuclear,GW,2040,489
IEA-WEM2019,Stated Policies Scenario,World,Capacity|Electricity|Nuclear,GW,2040,482
IEA-WEM2019,Sustainable Development Scenario,World,Capacity|Electricity|Nuclear,GW,2040,601
IEA-WEM2019,Current Policies Scenario,World,Capacity|Electricity|Oil,GW,2040,268
IEA-WEM2019,Stated Policies Scenario,World,Capacity|Electricity|Oil,GW,2040,239
IEA-WEM2019,Sustainable Development Scenario,World,Capacity|Electricity|Oil,GW,2040,240
IEA-WEM2019,Current Policies Scenario,World,Capacity|Electricity|Renewables,GW,2040,6087
IEA-WEM2019,Stated Policies Scenario,World,Capacity|Electricity|Renewables,GW,2040,7233
IEA-WEM2019,Sustainable Development Scenario,World,Capacity|Electricity|Renewables,GW,2040,10626
IEA-WEM2019,Current Policies Scenario,World,Capacity|Electricity|Solar|PV,GW,2040,2465
IEA-WEM2019,Stated Policies Scenario,World,Capacity|Electricity|Solar|PV,GW,2040,3142
IEA-WEM2019,Sustainable Development Scenario,World,Capacity|Electricity|Solar|PV,GW,2040,4815
IEA-WEM2019,Current Policies Scenario,World,Capacity|Electricity|Wind,GW,2040,1537
IEA-WEM2019,Stated Policies Scenario,World,Capacity|Electricity|Wind,GW,2040,1856
IEA-WEM2019,Sustainable Development Scenario,World,Capacity|Electricity|Wind,GW,2040,2930
IEA-WEM2019,Current Policies Scenario,World,Capacity|Electricity|Non-Biomass Renewables,GW,2040,5840
IEA-WEM2019,Stated Policies Scenario,World,Capacity|Electricity|Non-Biomass Renewables,GW,2040,6947
IEA-WEM2019,Sustainable Development Scenario,World,Capacity|Electricity|Non-Biomass Renewables,GW,2040,10201
